"website","hotelStars","city","state","postalCode","description","location/lat","location/lng","categoryName","title","address","hotelDescription","phone","imageUrl","url","imagesCount"
,,"Ujjain","Madhya Pradesh","456010",,"23.156617","75.8021319","Hindu temple","CHINTAHARAN MAHADEV JI MANDIR","5R42+JQQ, near Bhartiya Gyanpeeth School, Mahananda Nagar, Ujjain, Madhya Pradesh 456010, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zZofVZhajJWncLzUVDuwlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.33524&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=CHINTAHARAN%20MAHADEV%20JI%20MANDIR&query_place_id=ChIJU0PrRAB1YzkRO65Ve6OOpok","1"
,,"Ujjain","Madhya Pradesh","456006",,"23.1848568","75.8044601","Hindu temple","Anjeshwar mahadev mandir","c-5 Anjusha colony, Ujjain - Maksi Rd, Gopalpura, Ujjain, Madhya Pradesh 456006, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqLYGz3XIjH9l07yzosEdzxWTpEepZZE6GyMBM97E4u665Ggc0sZG9uXIASWQwv_uOf5S-ULBxi8Eo7_JHtUbm0F07hf2g0fV2NlUS-bTKnMl_mnK1CvUOmT-9QNDognKhe-Z0=w408-h725-k-no","https://www.google.com/maps/search/?api=1&query=Anjeshwar%20mahadev%20mandir&query_place_id=ChIJ8b9laYd1YzkR008TXTATpZE","6"
,,"Ujjain","Madhya Pradesh","456006",,"23.18874","75.7689885","Hindu temple","Jagdish Mandir, Chandravanshi Kshatriya Khati Samaj","5QQ9+FHH, 43, mahadji marg, Kartik Chowk, Ujjain, Madhya Pradesh 456006, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDrvVtOnwJT30pACS7gS7oxSSFlyBg9Bn7s_mSFQ6ste8oU_EcdvAzQqKLpJmozRJITPKPUmLLvsZwHcfUI6feXhCQv8CVlpcga6teXCPD6lAlpmlEoVsTwfyGCVBjPiqGoxVO=w443-h240-k-no","https://www.google.com/maps/search/?api=1&query=Jagdish%20Mandir%2C%20Chandravanshi%20Kshatriya%20Khati%20Samaj&query_place_id=ChIJcZ4GOTF0YzkRqj8R7CsxImI","326"
,,"Ujjain","Madhya Pradesh","456006",,"23.1980233","75.7864391","Dhaba","Shree Chandra dhaba and Restaurant","Agar Rd, Mohan Nagar, Ujjain, Madhya Pradesh 456006, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LEiCV2p6Cu0tm7xbam0Tig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.72437&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Shree%20Chandra%20dhaba%20and%20Restaurant&query_place_id=ChIJ34r_EPt1YzkRFitswHJ37Y8","2"
,,"Ujjain","Madhya Pradesh","456001",,"23.1980669","75.7895791","Restaurant","Prajapati Dhaba and restsaurent","Gayatri Nagar, Chimanganj Mandi, Chouraha, Ujjain, Madhya Pradesh 456001, India",,"+91 98278 37373","https://lh3.googleusercontent.com/p/AF1QipPmw3KKYstBaLko-IWxVgALpMpvR2GPz9F2wJHw=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Prajapati%20Dhaba%20and%20restsaurent&query_place_id=ChIJI7Uu1Bt0YzkRTGToXIgxaws","31"
,,"Ujjain","Madhya Pradesh","456006",,"23.2011516","75.7707226","Restaurant","Jiji ki Rasoi","Pipli Naka Chouraha, Ujjain, Madhya Pradesh 456006, India",,"+91 98273 07012","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5npi-Id1Q6yJejfrUaaybg3022Q8NUxR1Y5eqbjVRYSBykhCDNXj3ySx6AZ9dMFrPalfwdES-pzCwGM6xU-MG9h7brEaPTXXHxQiuv1fQJxe83Dlu4KbLTWM66fGjiPsmlI51=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Jiji%20ki%20Rasoi&query_place_id=ChIJ_b56T0F1YzkRDBg0xKeEEpU","71"
,,"Ujjain","Madhya Pradesh","456006",,"23.2103294","75.7820278","Vegetarian restaurant","Shree Guru Sandipani Restaurant","Mangalnath Marg, Digambar Akhara, Ujjain, Madhya Pradesh 456006, India",,"+91 98277 18930","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1pn1CSoapBTRPTlLcm7_toR0exj6xsbDz7mUPif5o9ZFYExUycOuodT3bSAyNKIs4SmOT622ouA31xreHfl0kzhHyLMc9nCNVnSzu3__JJ_Id7s2T-cDtozfbb_d59TzFe9OY=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20Guru%20Sandipani%20Restaurant&query_place_id=ChIJn0W9FZ92YzkROYMGMu8ZSCs","875"
,,"Ujjain","Madhya Pradesh","456006",,"23.2109412","75.7824066","Indian restaurant","Shree Govindam Restaurant","Mangalnath Rd, near Sandipani asharam, Ujjain, Madhya Pradesh 456006, India",,"+91 94253 32321","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPReCdKvF318lTHP0UWgxwQhCqTV59z823Nmpm_IAXfuBy5fNF-f1vyPf6W1LcgN925ZiwQDJLDkqB2-h3jMhMHb8Nam-a0QhikGXV8ky0uf9T7CxaUsIpkCErVl7-BsuOcBa7=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20Govindam%20Restaurant&query_place_id=ChIJg6TwqKB2YzkRK0hAXqBTPd4","955"
,,"Ujjain, Kamed","Madhya Pradesh","456006",,"23.2227128","75.7856451","Indian restaurant","Omkar Restaurant","Mangalnath Marg, Ujjain, Kamed, Madhya Pradesh 456006, India",,"+91 99268 75551","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpO0-sM2Gs9qi4DYikn3IB-3uHgJ0Ulm6IcyyPbuHA5bJiNJ8LMoB7mJixoxT1yBjlYMhNccJMlcAtiIGXOtV9W7aK8moSqYPBRoJf-lmWpyBoF1jGi_9e9mZbyQWNqeXAQkjMUnL53zwY=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Omkar%20Restaurant&query_place_id=ChIJk9vZ2IN3YzkRlGARgyK3sdE","160"
,,"Ujjain","Madhya Pradesh","456010",,"23.1805637","75.8055192","Hindu temple","karas dev mandir , by yadav","5RJ4+66C, Gopalpura, Ujjain, Madhya Pradesh 456010, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zynQFrRGjVtrR5ELbZaKBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.31845&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=karas%20dev%20mandir%20%2C%20by%20yadav&query_place_id=ChIJaw4BzGd1YzkR5Id1PqjbfWE","1"
,,"Ujjain","Madhya Pradesh","456010",,"23.1803474","75.7967265","Hindu temple","Jai Mahaveer Hanuman Mandir","5QJW+4MQ, Tatya Tope Marg, Ashok Nagar, Desai Nagar, Ujjain, Madhya Pradesh 456010, India",,"+91 98932 39444","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGioc2wYmbjjfDwpSdRpX8Dp9AMhmNRVn9_o-hSFR_9BL1hiHREeT16_H7l6o6OtzrqZvV36k6siY5B65epYDzwo51hGURB4zPRgeRFqXO2ldNkXEwfaYuxleqH_IEh6kQxYoGUF6XgRSvJTrEGo0SU2MATqpGRHmuAilUGBBoQV1wYuNefsqVOzDpFfH0tkYqDaw=w408-h543-k-no","https://www.google.com/maps/search/?api=1&query=Jai%20Mahaveer%20Hanuman%20Mandir&query_place_id=ChIJA8wBaHJ0YzkRNgM8jhMXUEI","4"
,,"Ujjain","Madhya Pradesh","456010",,"23.179164","75.7982179","Hindu temple","Maa Kalika Mandir","5QHX+M78, Vikram Marg, Ashok Nagar, Desai Nagar, Ujjain, Madhya Pradesh 456010, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrrIFUk0gX5U8Dw7NNLo0owEJ47Q6b892IqGdZux8shZrnDYe3ZPb0p19CBaFJsOydUo33hzR2-dr5vYH1QxOKBhlTelJgAE8Ha5iAeDVvpNPE6R-am37qPD0jcCAW187XPTNY=w408-h420-k-no","https://www.google.com/maps/search/?api=1&query=Maa%20Kalika%20Mandir&query_place_id=ChIJ-9O0MnJ0YzkRxIX_cG9HYpk","30"
,,"Ujjain, Gonsa","Madhya Pradesh","456006",,"23.2048837","75.767262","Indian restaurant","Gurukripa restaurant","gadkalika mandir, Bharathari gufa, road, Ujjain, Madhya Pradesh 456006, India",,"+91 74156 45935","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKn_dnpAR2OdgnqNA3mQFfzWc79-HDBfB-HPKnq6NxHEf7255tG4XPOurtob5Q_nHplHbxNcueu-EWmxXyNd-ui_tYs_GXHp2jSshcchfWT13s3xqwm1TyRUXKOUKrsYQ_Y19ODw=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Gurukripa%20restaurant&query_place_id=ChIJlZIkCIJ2YzkRHembq0-50Xw","17"
,,,"Madhya Pradesh",,,"23.1907227","75.7642211","Water","Kshipra River","Madhya Pradesh",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npNB0QdaH51te1Db1cJbOBwFeKOAiuKLZfRzPrU3--AqNAKVmPPwrrN9pt19CPCgSZ5qDM-swEUib_WR3G_en6dzmJQDOWK3xVJMvJcpH0qR2QFF5orQhwN3zbAJSGrI0anorD6Vw=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Kshipra%20River&query_place_id=ChIJ7fiYoTF0YzkR3EsAbxQC4fI","164"
